Freq (MHz),re(S11),im(S11),re(Z),im(Z)
6.900,0.68466,-0.30120,115.830,-158.394
6.950,0.68245,-0.30540,113.595,-157.335
7.000,0.67851,-0.30797,112.204,-155.383
7.050,0.67667,-0.31257,109.875,-154.554
7.100,0.67273,-0.31659,107.846,-152.693
7.150,0.67022,-0.32045,105.965,-151.553
7.200,0.66741,-0.32400,104.266,-150.284
7.250,0.66413,-0.32866,102.099,-148.831
7.300,0.66000,-0.33061,101.176,-147.002
7.350,0.65780,-0.33581,98.867,-146.089
7.400,0.65440,-0.34001,97.036,-144.658
7.450,0.65079,-0.34282,95.824,-143.155
7.500,0.64696,-0.34580,94.561,-141.597
7.550,0.64376,-0.35070,92.555,-140.339
7.600,0.64064,-0.35493,90.862,-139.126
7.650,0.63676,-0.35843,89.486,-137.637
7.700,0.63329,-0.36104,88.471,-136.331
7.750,0.62927,-0.36506,86.946,-134.853
7.800,0.62587,-0.36935,85.363,-133.633
7.850,0.62225,-0.37316,83.980,-132.353
7.900,0.61807,-0.37616,82.908,-130.898
7.950,0.61484,-0.37908,81.880,-129.799
8.000,0.61025,-0.38402,80.187,-128.274
8.050,0.60633,-0.38799,78.857,-126.996
8.100,0.60192,-0.39078,77.929,-125.581
8.150,0.59868,-0.39399,76.885,-124.569
8.200,0.59431,-0.39824,75.531,-123.224
8.250,0.59039,-0.40083,74.711,-122.039
8.300,0.58582,-0.40453,73.565,-120.688
8.350,0.58198,-0.40801,72.511,-119.577
8.400,0.57727,-0.41144,71.481,-118.236
8.450,0.57229,-0.41547,70.295,-116.853
8.500,0.56819,-0.41895,69.290,-115.739
8.550,0.56326,-0.42231,68.331,-114.420
8.600,0.56009,-0.42468,67.664,-113.590
8.650,0.55528,-0.42893,66.492,-112.356
8.700,0.54977,-0.43152,65.765,-110.956
8.750,0.54505,-0.43546,64.710,-109.797
8.800,0.54054,-0.43902,63.773,-108.711
8.850,0.53590,-0.44111,63.204,-107.596
8.900,0.52982,-0.44551,62.067,-106.188
8.950,0.52493,-0.44812,61.386,-105.069
9.000,0.52007,-0.45122,60.600,-103.984
9.050,0.51501,-0.45298,60.124,-102.854
9.100,0.51049,-0.45657,59.247,-101.897
9.150,0.50435,-0.46015,58.361,-100.599
9.200,0.49933,-0.46177,57.926,-99.541
9.250,0.49419,-0.46528,57.089,-98.506
9.300,0.48937,-0.46831,56.368,-97.553
9.350,0.48250,-0.47085,55.719,-96.189
9.400,0.47695,-0.47349,55.079,-95.121
9.450,0.47157,-0.47712,54.251,-94.129
9.500,0.46650,-0.47898,53.785,-93.179
9.550,0.46084,-0.48188,53.109,-92.154
9.600,0.45546,-0.48409,52.575,-91.189
9.650,0.44909,-0.48750,51.803,-90.085
9.700,0.44330,-0.48885,51.423,-89.061
9.750,0.43793,-0.49293,50.567,-88.196
9.800,0.43188,-0.49427,50.186,-87.164
9.850,0.42502,-0.49732,49.489,-86.052
9.900,0.41880,-0.49951,48.961,-85.051
9.950,0.41255,-0.50179,48.419,-84.068
10.000,0.40672,-0.50390,47.917,-83.166
10.050,0.40003,-0.50684,47.263,-82.166
10.100,0.39372,-0.50802,46.903,-81.197
10.150,0.38718,-0.51063,46.312,-80.250
10.200,0.38055,-0.51224,45.874,-79.281
10.250,0.37332,-0.51515,45.224,-78.277
10.300,0.36672,-0.51739,44.698,-77.369
10.350,0.36051,-0.51829,44.379,-76.492
10.400,0.35285,-0.52034,43.850,-75.461
10.450,0.34599,-0.52167,43.448,-74.538
10.500,0.33912,-0.52333,42.998,-73.642
10.550,0.33263,-0.52489,42.576,-72.810
10.600,0.32386,-0.52639,42.086,-71.691
10.650,0.31702,-0.52869,41.556,-70.872
10.700,0.31047,-0.53011,41.151,-70.076
10.750,0.30212,-0.53020,40.853,-69.023
10.800,0.29456,-0.53125,40.456,-68.120
10.850,0.28762,-0.53344,39.942,-67.349
10.900,0.28026,-0.53330,39.695,-66.460
10.950,0.27166,-0.53392,39.306,-65.467
11.000,0.26388,-0.53552,38.833,-64.626
11.050,0.25617,-0.53551,38.545,-63.747
11.100,0.24882,-0.53650,38.156,-62.962
11.150,0.24068,-0.53749,37.736,-62.105
11.200,0.23242,-0.53750,37.415,-61.213
11.250,0.22402,-0.53748,37.088,-60.322
11.300,0.21678,-0.53844,36.701,-59.604
11.350,0.20855,-0.53790,36.429,-58.740
11.400,0.20007,-0.53721,36.154,-57.859
11.450,0.19181,-0.53758,35.780,-57.058
11.500,0.18289,-0.53775,35.396,-56.200
11.550,0.17523,-0.53711,35.139,-55.444
11.600,0.16733,-0.53593,34.918,-54.656
11.650,0.15863,-0.53527,34.609,-53.828
11.700,0.14952,-0.53526,34.221,-53.006
11.750,0.14111,-0.53441,33.935,-52.225
11.800,0.13295,-0.53324,33.683,-51.465
11.850,0.12382,-0.53239,33.356,-50.649
11.900,0.11527,-0.53113,33.086,-49.879
11.950,0.10647,-0.52985,32.800,-49.100
12.000,0.09713,-0.52817,32.519,-48.272
12.050,0.09003,-0.52644,32.337,-47.634
12.100,0.08023,-0.52514,31.995,-46.814
12.150,0.07028,-0.52216,31.767,-45.923
12.200,0.06256,-0.52015,31.562,-45.256
12.250,0.05315,-0.51912,31.204,-44.521
12.300,0.04407,-0.51642,30.977,-43.746
12.350,0.03475,-0.51292,30.788,-42.930
12.400,0.02515,-0.51007,30.532,-42.137
12.450,0.01698,-0.50745,30.323,-41.464
12.500,0.00832,-0.50404,30.137,-40.731
12.550,-0.00179,-0.50052,29.881,-39.911
12.600,-0.01021,-0.49812,29.629,-39.264
12.650,-0.01997,-0.49411,29.407,-38.467
12.700,-0.02842,-0.49087,29.195,-37.800
12.750,-0.03745,-0.48654,29.013,-37.055
12.800,-0.04667,-0.48296,28.770,-36.346
12.850,-0.05642,-0.47853,28.543,-35.578
12.900,-0.06472,-0.47445,28.361,-34.919
12.950,-0.07348,-0.47006,28.167,-34.228
13.000,-0.08291,-0.46479,27.979,-33.469
13.050,-0.09238,-0.46140,27.684,-32.812
13.100,-0.10196,-0.45558,27.501,-32.041
13.150,-0.11047,-0.44970,27.364,-31.330
13.200,-0.11865,-0.44546,27.158,-30.725
13.250,-0.12739,-0.43972,26.989,-30.028
13.300,-0.13714,-0.43331,26.790,-29.261
13.350,-0.14612,-0.42802,26.572,-28.596
13.400,-0.15489,-0.42212,26.384,-27.918
13.450,-0.16211,-0.41543,26.300,-27.276
13.500,-0.17134,-0.40874,26.105,-26.557
13.550,-0.18078,-0.40223,25.884,-25.850
13.600,-0.18809,-0.39565,25.766,-25.231
