Freq (MHz),re(S11),im(S11),re(Z),im(Z)
6.900,-0.94043,0.28894,0.417,7.507
6.950,-0.93910,0.29165,0.430,7.585
7.000,-0.93907,0.29372,0.414,7.636
7.050,-0.93853,0.29598,0.410,7.697
7.100,-0.93811,0.29678,0.414,7.720
7.150,-0.93737,0.29897,0.416,7.780
7.200,-0.93614,0.30207,0.422,7.867
7.250,-0.93464,0.30276,0.453,7.896
7.300,-0.93445,0.30603,0.432,7.978
7.350,-0.93436,0.30587,0.436,7.975
7.400,-0.93341,0.30962,0.429,8.076
7.450,-0.93208,0.31194,0.443,8.144
7.500,-0.93196,0.31102,0.453,8.122
7.550,-0.93171,0.31550,0.423,8.235
7.600,-0.93055,0.31721,0.437,8.287
7.650,-0.92979,0.31856,0.445,8.327
7.700,-0.92953,0.32083,0.432,8.385
7.750,-0.92806,0.32115,0.466,8.406
7.800,-0.92737,0.32422,0.456,8.488
7.850,-0.92669,0.32684,0.451,8.558
7.900,-0.92591,0.32857,0.455,8.608
7.950,-0.92605,0.33109,0.430,8.669
8.000,-0.92455,0.33224,0.457,8.710
8.050,-0.92392,0.33384,0.458,8.755
8.100,-0.92334,0.33534,0.459,8.798
8.150,-0.92256,0.33720,0.462,8.850
8.200,-0.92196,0.33866,0.464,8.892
8.250,-0.92133,0.34143,0.454,8.966
8.300,-0.92090,0.34322,0.448,9.014
8.350,-0.92013,0.34403,0.460,9.041
8.400,-0.91839,0.34686,0.477,9.127
8.450,-0.91842,0.34853,0.461,9.168
8.500,-0.91798,0.35031,0.455,9.215
8.550,-0.91627,0.35023,0.498,9.229
8.600,-0.91511,0.35436,0.488,9.342
8.650,-0.91521,0.35718,0.459,9.410
8.700,-0.91365,0.35757,0.493,9.435
8.750,-0.91355,0.35962,0.476,9.486
8.800,-0.91279,0.36124,0.479,9.533
8.850,-0.91142,0.36242,0.501,9.576
8.900,-0.91044,0.36615,0.489,9.677
8.950,-0.91064,0.36879,0.459,9.740
9.000,-0.90949,0.36917,0.483,9.760
9.050,-0.90851,0.37188,0.480,9.836
9.100,-0.90862,0.37292,0.467,9.861
9.150,-0.90816,0.37528,0.455,9.923
9.200,-0.90637,0.37753,0.476,9.996
9.250,-0.90611,0.37817,0.476,10.015
9.300,-0.90367,0.38106,0.506,10.110
9.350,-0.90507,0.38245,0.458,10.130
9.400,-0.90177,0.38347,0.528,10.189
9.450,-0.90184,0.38574,0.503,10.243
9.500,-0.90082,0.38562,0.529,10.251
9.550,-0.89961,0.38804,0.534,10.323
9.600,-0.89989,0.39054,0.501,10.381
9.650,-0.89869,0.39377,0.496,10.472
9.700,-0.89778,0.39321,0.524,10.468
9.750,-0.89639,0.39551,0.534,10.539
9.800,-0.89582,0.39764,0.525,10.597
9.850,-0.89468,0.39993,0.528,10.666
9.900,-0.89549,0.40300,0.475,10.732
9.950,-0.89349,0.40424,0.511,10.783
10.000,-0.89301,0.40462,0.518,10.798
10.050,-0.89087,0.40653,0.549,10.868
10.100,-0.89066,0.40946,0.522,10.942
10.150,-0.89035,0.41128,0.509,10.989
10.200,-0.88976,0.41096,0.527,10.988
10.250,-0.88779,0.41474,0.533,11.102
10.300,-0.88706,0.41650,0.531,11.153
10.350,-0.88690,0.41792,0.519,11.189
10.400,-0.88524,0.42028,0.532,11.265
10.450,-0.88482,0.42287,0.513,11.333
10.500,-0.88348,0.42225,0.552,11.333
10.550,-0.88228,0.42546,0.545,11.425
10.600,-0.88225,0.42746,0.522,11.474
10.650,-0.88196,0.42802,0.523,11.491
10.700,-0.87973,0.42985,0.555,11.561
10.750,-0.87910,0.43178,0.548,11.615
10.800,-0.87884,0.43376,0.531,11.666
10.850,-0.87814,0.43620,0.519,11.733
10.900,-0.87606,0.43646,0.566,11.764
10.950,-0.87524,0.43953,0.549,11.848
11.000,-0.87509,0.44037,0.543,11.870
11.050,-0.87340,0.44320,0.550,11.959
11.100,-0.87290,0.44331,0.561,11.967
11.150,-0.87204,0.44580,0.551,12.038
11.200,-0.87083,0.44840,0.548,12.115
11.250,-0.87007,0.44893,0.560,12.137
11.300,-0.86879,0.45077,0.568,12.198
11.350,-0.86776,0.45252,0.572,12.253
11.400,-0.86709,0.45479,0.559,12.316
11.450,-0.86578,0.45566,0.580,12.353
11.500,-0.86498,0.45823,0.567,12.424
11.550,-0.86435,0.46070,0.551,12.492
11.600,-0.86349,0.46058,0.573,12.500
11.650,-0.86256,0.46404,0.552,12.595
11.700,-0.86125,0.46589,0.559,12.655
11.750,-0.86110,0.46653,0.555,12.673
