Freq (MHz),re(S11),im(S11),re(Z),im(Z)
6.950,0.10874,0.96283,1.776,55.934
7.000,0.11509,0.96192,1.799,56.307
7.050,0.12195,0.96077,1.831,56.714
7.100,0.12937,0.95996,1.838,57.157
7.150,0.13742,0.95905,1.843,57.642
7.200,0.14284,0.95745,1.904,57.977
7.250,0.15059,0.95660,1.902,58.451
7.300,0.15636,0.95528,1.939,58.812
7.350,0.16212,0.95485,1.920,59.168
7.400,0.16956,0.95266,1.993,59.646
7.450,0.17544,0.95089,2.052,60.027
7.500,0.18133,0.95099,1.992,60.396
7.550,0.18843,0.94897,2.051,60.863
7.600,0.19480,0.94777,2.062,61.280
7.650,0.20098,0.94612,2.102,61.693
7.700,0.20809,0.94555,2.059,62.159
7.750,0.21352,0.94300,2.161,62.542
7.800,0.21994,0.94150,2.181,62.980
7.850,0.22552,0.93987,2.218,63.369
7.900,0.23282,0.93841,2.218,63.873
7.950,0.23780,0.93684,2.255,64.228
8.000,0.24332,0.93526,2.283,64.622
8.050,0.24923,0.93378,2.297,65.045
8.100,0.25577,0.93296,2.252,65.503
8.150,0.26166,0.93095,2.297,65.940
8.200,0.26816,0.92890,2.333,66.424
8.250,0.27160,0.92763,2.363,66.685
8.300,0.27756,0.92560,2.402,67.138
8.350,0.28286,0.92355,2.452,67.548
8.400,0.28979,0.92200,2.434,68.070
8.450,0.29410,0.91993,2.500,68.419
8.500,0.30075,0.91892,2.442,68.917
8.550,0.30502,0.91773,2.442,69.251
8.600,0.31182,0.91490,2.507,69.806
8.650,0.31673,0.91281,2.556,70.212
8.700,0.32042,0.91073,2.629,70.530
8.750,0.32624,0.90964,2.580,70.988
8.800,0.33287,0.90758,2.581,71.532
8.850,0.33633,0.90567,2.643,71.839
8.900,0.34302,0.90333,2.658,72.404
8.950,0.34729,0.90110,2.723,72.786
9.000,0.35118,0.89992,2.714,73.115
9.050,0.35747,0.89784,2.711,73.656
9.100,0.36182,0.89491,2.823,74.074
9.150,0.36641,0.89383,2.783,74.463
9.200,0.37231,0.89202,2.760,74.979
9.250,0.37521,0.88988,2.847,75.270
9.300,0.38012,0.88785,2.867,75.721
9.350,0.38604,0.88660,2.791,76.233
9.400,0.38823,0.88302,3.014,76.519
9.450,0.39371,0.88099,3.010,77.028
9.500,0.39877,0.87914,3.002,77.500
9.550,0.40265,0.87678,3.071,77.896
9.600,0.40668,0.87541,3.052,78.276
9.650,0.41224,0.87328,3.043,78.811
9.700,0.41608,0.87061,3.136,79.224
9.750,0.41931,0.86892,3.166,79.555
9.800,0.42384,0.86652,3.209,80.025
9.850,0.42813,0.86478,3.203,80.454
9.900,0.43395,0.86294,3.147,81.021
9.950,0.43820,0.86123,3.133,81.453
10.000,0.44023,0.85838,3.303,81.738
10.050,0.44525,0.85682,3.244,82.237
10.100,0.44961,0.85413,3.308,82.727
10.150,0.45449,0.85207,3.293,83.242
10.200,0.45591,0.84981,3.436,83.461
10.250,0.46156,0.84736,3.420,84.069
10.300,0.46534,0.84618,3.365,84.459
10.350,0.46825,0.84306,3.523,84.857
